URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,IsLegit
31,24,0,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,1
23,16,0,2,1,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,1
29,22,0,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
33,26,0,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,1
30,23,0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
29,22,0,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
18,11,0,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1
33,26,0,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,1
22,16,0,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,0
27,20,0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1
20,13,0,3,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,1
26,19,0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
20,13,0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1
21,14,0,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1
21,14,0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1
22,15,0,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,1
26,20,0,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,0
24,17,0,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,0
28,21,0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1
29,22,0,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
33,26,0,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,1
25,18,0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1
36,29,0,4,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,1
37,29,0,3,1,0,0,0.0,26,0.703,0,0.0,0,0,0,3,0.081,1,0
32,26,0,2,2,0,0,0.0,16,0.5,2,0.062,0,0,0,3,0.094,0,0
26,18,0,3,1,0,0,0.0,11,0.423,4,0.154,0,0,0,3,0.115,1,0
21,14,0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1
91,7,0,2,0,0,0,0.0,69,0.758,7,0.077,1,1,0,5,0.077,1,0
40,32,0,3,1,0,0,0.0,16,0.4,12,0.3,0,0,0,5,0.125,0,0
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
35,26,0,3,1,0,0,0.0,22,0.629,2,0.057,0,0,0,3,0.086,1,0
23,16,0,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,1
32,25,0,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,1
19,13,0,3,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,0
19,12,0,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1
27,21,0,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,0
27,21,0,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,0
32,24,0,3,1,0,0,0.0,19,0.594,2,0.062,0,0,0,3,0.094,1,0
24,17,0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1
29,22,0,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1
41,33,0,3,1,0,0,0.0,25,0.61,3,0.073,0,0,0,5,0.122,1,0
