URLLength,DomainLength,IsDomainIP,CharContinuationRate,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpecialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,URLTitleMatchScore,HasFavicon,Robots,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,IsLegit
32,24,0,1.0,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,558,9381,1,0.0,0,1,28,119,0,124,1
24,16,0,0.666666667,2,1,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,618,9381,1,55.55555556,1,1,8,39,0,217,1
30,22,0,0.866666667,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,467,682,1,46.66666667,0,1,7,42,2,5,1
27,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,6356,26824,1,0.0,0,1,15,22,1,31,1
34,26,0,1.0,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,6089,28404,1,100.0,0,1,34,72,1,85,1
31,23,0,1.0,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1210,737,1,0.0,0,0,11,86,0,14,1
26,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1024,984,1,0.0,1,0,14,44,2,17,1
26,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,514,399,1,100.0,1,0,22,36,0,15,1
30,22,0,1.0,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,2371,12913,1,100.0,0,1,9,40,1,317,1
19,11,0,1.0,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,2730,481,1,0.0,1,1,12,173,6,65,1
34,26,0,1.0,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,2616,584,1,55.55555556,1,1,10,376,1,9,1
23,16,0,1.0,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,87,0,0.0,0,0,0,0,0,1,0
28,20,0,1.0,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1043,1037,1,50.0,1,0,13,92,1,18,1
21,13,0,1.0,3,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,5966,22382,1,0.0,1,0,7,4,0,14,1
27,19,0,1.0,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2639,1574,1,100.0,1,1,22,156,2,184,1
25,17,0,1.0,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,5509,550,1,0.0,1,0,19,2,1,14,1
21,13,0,1.0,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,2839,8047,1,100.0,0,1,16,235,0,254,1
22,14,0,1.0,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1576,1907,1,100.0,0,1,27,0,1,143,1
22,14,0,1.0,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,5004,13844,1,0.0,1,0,33,168,1,90,1
23,15,0,0.625,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,719,1842,1,80.0,1,0,2,2,0,1,1
27,20,0,0.923076923,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,0.0,0,0,0,0,0,0,0
24,17,0,1.0,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,20,211,1,0.0,0,0,0,0,0,0,0
29,21,0,1.0,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,2412,17815,1,0.0,1,0,4,111,2,39,1
30,22,0,1.0,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,11406,467,1,100.0,0,1,10,609,12,93,1
34,26,0,0.631578947,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,407,1497,1,0.0,1,0,21,2,0,7,1
26,18,0,1.0,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,317,191,1,100.0,0,0,4,2,2,4,1
37,29,0,1.0,4,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,795,3398,1,100.0,1,0,6,23,2,17,1
38,29,0,0.48,3,1,0,0,0.0,26,0.703,0,0.0,0,0,0,3,0.081,1,16,113,0,0.0,0,0,0,0,0,0,0
33,26,0,0.526315789,2,2,0,0,0.0,16,0.5,2,0.062,0,0,0,3,0.094,0,43,283,1,5.263157895,0,0,0,1,0,1,0
27,18,0,0.571428571,3,1,0,0,0.0,11,0.423,4,0.154,0,0,0,3,0.115,1,108,8125,1,0.0,0,0,0,0,0,3,0
